FID,species,TAG0305,jan38,oct43,jun54,may67,jan80,may94,jul04,aug12,jul14,jun16,jul18,aug20,POINT_X,POINT_Y,usecode,surfgeol,soilgrid,tpi_500,slope9m,floaccum9m,solradmara
939,QUDO,2148,2,2,2,2,2,2,2,2,2,2,2,1,771235.9294,3845130.441,1,Qp,2,-19.4179001,4.4923501,35,1105280
940,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,771168.7928,3845130.698,2,Qt3a,2,-24.5513992,12.6232004,78,1073480
941,QUDO,2129,2,2,2,2,2,2,2,2,2,2,2,2,771226.8815NA9,3845140.061NA9,1,Qp,2,-18.3943005,5.6089902,0,1092820
942,QUAG,NA,2,2,1,0,0,0,0,0,0,0,0,0,771232.8948NA9,3845155.467,2,Qp,2,-18.7094994,11.1665001,2,1112110
943,QUDO,NA,2,2,2,2,2,2,2,2,2,2,0,0,771185.9054NA9,3845156.063,1,Qp,2,-22.0317993,3.1798301,0,1091920
944,QUDO,1346,2,2,2,2,2,2,2,2,2,2,1,1,771223.7693,3845161.745,1,Qp,2,-18.5977001,7.9071598,3,1104410
945,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771178.7639,3845193.4583NA,1,Qp,2,-20.4160995,4.6300201,0,1105970
946,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771157.8754,3845221.677,1,Qp,2,-18.8764992,4.4923501,5,1103880
947,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771186.7968,3845249.615,1,Qp,2,-16.1383991,3.55425,0,1099900
948,QUDO,NA,2,2,2,2,2,2,2,2,2,2,1,1,771164.6380NA9,3845251.716,1,Qp,2,-18.2087994,4.4923501,5,1104360
949,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771204.3847NA9,3845295.554,1,Qp,2,-12.8289003,8.1378403,0,1101630
950,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771231.9546,3845309.387,1,Qp,2,-9.2967196,7.0813498,12,1059640
951,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771202.295,3845328.731NA9,1,Qp,2,-13.2445002,5.6089902,2158,1094100
952,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771216.6474,3845340.663,1,Qp,2,-12.5434999,2.5148399,1,1091050
953,QULO,2886,2,2,2,2,2,2,2,2,2,2,2,2,769361.9512,3846193.307,2,Qt2,18,13.6363001,4.05091,1,1119510
954,QULO,2885,2,2,2,2,2,2,2,2,2,2,2,1,769346.1068,3846199.643,2,Qt2,18,14.7827997,2.24963,1,1110920
955,QUSP,NA,2,2,2,2,1,0,0,0,0,0,0,0,769366,3846224,2,Qt2,18,14.5585003,3.3722899,0,1113630
956,QULO,2882,2,2,2,2,2,2,2,2,2,2,2,2,769373.4862,3846280.559,2,Qt2,18,13.7427998,0,1,1104890
957,QUDO,NA,2,2,2,2,2,1,1,1,1,1,1,1,769375,3846344,1,Qt2,18,12.9925003,1.12525,0,1108250
958,QULO,2200,2,2,2,2,2,2,2,2,2,1,1,1,769059.8760NA9,3846671.757NA9,1,Qt2,18,11.1087999,1.12525,0,1108870
959,QULO,1254,2,2,2,2,2,2,2,2,2,2,2,2,769067.0546,3846671.864,1,Qt2,18,11.3231001,1.12525,0,1108870
960,QULO,1260,2,2,2,2,2,2,2,2,2,2,2,2,769079.2286NA9,3846700.530NA9,1,Qt2,18,10.7844,0,1,1105460
961,QUDO,1244,2,2,2,2,2,2,2,2,2,2,2,2,769070.1822NA9,3846711.436NA9,1,Qt2,18,10.2282,2.5148399,7,1114850
962,QULO,1252,2,2,2,2,2,2,2,2,2,2,2,1,769050.121NA99,3846715.083,1,Qc,18,9.625,0,30,1105350
963,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,769055.2965,3846735.058NA9,1,Qc,18,9.1501198,3.3722899,0,1113870
964,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,769049.554,3846742.141NA9,1,Qc,18,8.8127098,5.7193398,0,1121190
965,QULO,1259,2,2,2,2,2,2,2,2,2,2,2,2,769100.2604,3846798.692NA9,1,Qt2,18,11.1940002,3.3722899,2,1114620
966,QUAG,1258,2,2,2,2,2,2,2,2,2,2,2,2,769092.2462,3846830.391NA9,1,Qt2,18,11.1576996,1.12525,0,1109300
967,QULO,1223,2,2,2,2,2,2,2,2,2,2,2,2,769082.221,3846833.663,1,Qt2,18,10.7508001,1.12525,0,1109280
968,QULO,1247,2,2,2,2,2,2,2,2,2,2,2,2,769079.4231NA9,3846843.046,1,Qt2,18,10.4313002,0,0,1105900
969,QULO,1248,2,2,2,2,2,2,2,2,2,2,2,2,769086.5182,3846852.75,1,Qt2,18,10.3465996,0,1,1105910
970,QULO,1281,2,2,2,2,2,2,2,2,2,2,2,2,769218.4011,3846937.435,1,Qt2,18,10.6961002,0,0,1106110
971,QULO,1283,2,2,2,2,2,2,2,2,2,2,2,2,769205.875,3846946.530NA9,1,Qt2,18,10.5235004,1.12525,0,1109520
972,QULO,1267,2,2,2,2,2,2,2,2,2,2,1,0,769149.6835NA9,3846947.092,1,Qt2,18,7.5073199,3.1798301,90,1118110
973,QULO,1265,2,2,2,2,2,2,2,2,2,2,2,2,769183.8151,3846951.257NA9,1,Qt2,18,9.4689903,4.6300201,8,1113220
974,QULO,1263,2,2,2,2,2,2,2,2,2,2,2,2,769163.7735,3846956.089,1,Qt2,18,8.3116102,4.4923501,0,1116750
975,QULO,1289,2,2,2,2,2,2,2,2,2,2,2,2,769239.2682,3846966.905NA9,1,Qt2,18,9.6099195,2.5148399,0,1108190
976,QULO,1279,2,2,2,2,2,2,2,2,2,2,2,2,769153.6239,3846969.081NA9,1,Qt2,18,7.9548302,4.7636399,3,1123320
977,QULO,1266,2,2,2,2,2,2,2,2,2,2,2,2,769158.3255,3846970.677,1,Qt2,18,7.97159,4.6300201,70,1119850
978,QULO,1271,2,2,2,2,2,2,2,2,2,2,2,2,769173.9401,3846971.268,1,Qt2,18,8.8908396,4.4923501,0,1116970
979,QULO,1276,2,2,2,2,2,2,2,2,2,2,2,2,769162,3846974.75,1,Qt2,18,8.8113098,2.5148399,49,1115650
980,QULO,1280,2,2,2,2,2,2,2,2,2,2,2,1,769244.0903NA9,3846975.410NA9,1,Qt2,18,9.2260399,2.5148399,0,1108190
981,QULO,1264,2,2,2,2,2,2,2,2,2,2,2,2,769167.6953,3846979.112,1,Qt2,18,8.7288198,3.55425,18,1110990
982,QULO,1286,2,2,2,2,2,2,2,2,2,2,2,2,769256.1818NA9,3846984.083NA9,1,Qt2,18,8.7209797,1.12525,10,1109270
983,QULO,877,2,2,2,2,2,2,2,2,2,2,2,2,769198.1483NA9,3846989.617,1,Qt2,18,10.3255997,3.1798301,1,1104530
984,QULO,876,2,2,2,2,2,2,2,2,2,2,2,2,769211.9344NA9,3846991.083NA9,1,Qt2,18,11.0857,2.5148399,0,1101590
985,QULO,680,2,2,2,2,2,2,2,2,2,2,2,2,769227.1844NA9,3846991.995,1,Qt2,18,9.8987999,1.59114,1,1105470
986,QULO,1282,2,2,2,2,2,2,2,2,2,2,2,2,769243.011NA99,3846992.742NA9,1,Qt2,18,9.6749296,3.3722899,1,1114900
987,QULO,NA,2,2,2,2,1,0,0,0,0,0,0,0,769209.9091,3847003.595NA9,1,Qt2,18,9.7449598,0,0,1105900
988,QULO,1290,2,2,2,2,2,2,2,2,2,2,2,2,769246.1317,3847005.188NA9,1,Qt2,18,9.1698904,0,3,1106200
989,QULO,697,2,2,2,2,2,2,2,2,2,2,2,2,769145.8333,3847007.422NA9,1,Qc,18,8.8655996,3.55425,6,1117820
990,QULO,1288,2,2,2,2,2,2,2,2,2,1,1,0,769167.8623,3847014.566NA9,1,Qt2,18,9.6842003,2.5148399,1,1115850
991,QULO,567,2,2,2,2,2,2,2,2,2,2,2,2,769197.0524,3847017.634,1,Qt2,18,9.4184599,3.1798301,6,1118500
992,QULO,1293,2,2,2,2,2,2,2,2,2,2,2,2,769240.5956,3847019.422NA9,1,Qt2,18,8.7752104,0,3,1106170
993,QULO,525,2,2,2,2,2,2,2,2,2,2,2,2,769222.9995NA9,3847024.688NA9,1,Qt2,18,8.88834,1.12525,4,1109310
994,QULO,531,2,2,2,2,2,2,2,2,2,2,2,2,769210.5163NA9,3847027.655NA9,1,Qt2,18,9.9695396,3.3722899,3,1114410
995,QUAG,1291,2,2,2,2,2,2,2,2,2,2,2,2,769174.5934NA9,3847035.359,1,Qt2,18,10.0439997,2.5148399,5,1115990
996,QULO,1292,2,2,2,2,2,2,2,2,2,2,2,2,769249.0383,3847038.973,1,Qt2,18,7.9895301,3.1798301,11,1118570
997,QUAG,1294,2,2,2,2,2,2,2,2,2,2,2,2,769169.2561NA9,3847040.532NA9,1,Qt2,18,9.8944397,1.12525,4,1109640
998,QUAG,1295,2,2,2,2,2,2,2,2,2,2,2,2,769160.6121,3847041.274NA9,1,Qc,18,9.9228497,2.5148399,4,1115930
999,QULO,538,2,2,2,2,2,2,2,2,2,2,2,2,769235.5568NA9,3847052.367,1,Qt2,18,8.7597704,4.05091,6,1121200
1000,QULO,550,2,2,2,2,2,2,2,2,2,2,2,2,769185.1291,3847057.333NA9,1,Qt2,18,9.3329201,3.55425,5,1118150
1001,QULO,522,2,2,2,2,2,2,2,2,2,2,2,2,769223.342NA99,3847063.333NA9,1,Qt2,18,9.6214304,3.1798301,4,1119010
1002,QULO,509,2,2,2,2,2,2,2,2,2,2,2,2,769180.4751,3847077.04NA99,1,Qt2,18,9.75214,0,0,1106320
1003,QULO,NA,2,2,2,2,2,2,2,1,0,0,0,0,769254.2804NA9,3847082.561NA9,1,Qt2,18,8.2801199,3.55425,1,1118260
1004,QULO,NA,2,2,2,2,2,2,2,2,2,2,2,2,769294.83,3847086.778,2,Qc,18,2.67981,8.5076704,66,1128380
1005,QULO,NA,2,2,2,2,1,0,0,0,0,0,0,0,769161.9645NA9,3847083.586NA9,1,Qt2,16,9.6842003,0,10,1106300
1006,QULO,186,2,2,2,2,2,2,2,2,2,2,2,1,769260.5651,3847123.685,1,Qt2,18,7.5427899,3.3722899,8,1114470
1007,QUAG,1474,2,2,2,2,2,2,2,2,2,2,2,2,769177.9375NA9,3847124.95,1,Qt2,16,9.2771597,0,18,1106350
1008,QULO,137,2,2,2,2,2,2,2,2,2,2,2,2,769199.4011,3847136.435,1,Qt2,18,9.73981,0,0,1106500
1009,QUAG,NA,2,2,2,2,2,2,2,2,2,1,0,0,769191.0594,3847144.95NA99,1,Qt2,18,9.5300598,1.12525,0,1109900
1010,QULO,181,2,2,2,2,2,2,2,2,2,2,2,2,769262.3020NA9,3847146.382NA9,1,Qt2,18,7.6069598,1.12525,6,1109810
1011,QULO,183,2,2,2,2,2,2,2,2,2,2,2,2,769234.75,3847154.632NA9,1,Qt2,18,9.2311401,3.1798301,5,1118870
1012,QULO,182,2,2,2,2,2,2,2,2,2,2,2,1,769244.6062NA9,3847157.279,1,Qt2,18,7.7062101,3.1798301,1,1119210
1013,QULO,700,2,2,2,2,2,2,2,2,2,2,2,1,769195.3791NA9,3847157.853NA9,1,Qt2,18,9.0757399,0,21,1106480
1014,QULO,2183,2,2,2,2,2,2,2,2,2,1,1,1,769268.0688,3847165.765,1,Qt2,18,7.6300402,0,0,1106530
1015,QUAG,1493,2,2,2,2,2,2,2,2,2,2,2,1,769315.824NA99,3847165.964NA9,1,Qt2,18,6.3210402,3.1798301,2,1104990
1016,QUAG,NA,2,2,2,2,1,0,0,0,0,0,0,0,769301.7277,3847166.725NA9,1,Qt2,18,5.9298401,3.55425,9,1111350
1017,QULO,8,2,2,2,2,2,2,2,2,2,2,2,2,769240.5NANA,3847170.5,1,Qt2,18,8.4547701,0,0,1106580
1018,QULO,2185,2,2,2,2,2,2,2,2,2,2,2,2,769270.2854,3847175.882NA9,1,Qt2,18,7.0062599,0,25,1106460
1019,QULO,NA,2,2,2,2,2,2,2,2,2,2,2,2,769291.6145NA9,3847177.132NA9,1,Qt2,18,6.0163598,3.3722899,23,1115230
1020,QULO,7,2,2,2,2,2,2,2,2,2,2,2,2,769251.9895NA9,3847181.955NA9,1,Qt2,18,7.5296602,0,27,1106500
1021,QUAG,1477,2,2,2,2,2,2,2,2,2,2,2,1,769311.187,3847194.549,1,Qt2,18,6.1536598,4.6300201,0,1114180
1022,QUDO,1500,2,2,2,2,2,2,2,2,2,2,2,2,769311.1929,3847200.875,1,Qt2,18,5.8839998,4.6300201,0,1114180
1023,QUDO,NA,2,2,2,2,0,0,0,0,0,0,0,0,769301.7867,3847209.841,2,Qt2,18,5.9685102,3.55425,9,1111460
1024,QULO,NA,2,2,2,2,2,2,2,0,0,0,0,0,769309.6145NA9,3847218.473,1,Qt2,18,5.06738,4.05091,6,1107690
1025,QULO,2171,2,2,2,2,2,2,2,2,2,2,2,2,769276.1626,3847219.776,1,Qt2,18,5.83459,3.1798301,4,1118890
1026,QULO,1492,2,2,2,2,2,2,2,2,2,2,2,2,769293.5396,3847233.427,1,Qt2,18,5.22925,1.12525,28,1109950
1027,QUDO,1494,2,2,2,2,2,2,2,2,2,2,2,2,769346.5866,3847234.154,1,Qt2,18,7.41116,7.0813498,0,1085450
1028,QULO,1444,2,2,2,2,2,2,2,2,2,2,2,2,769222.5291NA9,3847247.148,1,Qt2,18,7.7628498,3.55425,4,1111990
1029,QULO,1483,2,2,2,2,2,2,2,2,2,2,2,1,769314.2791NA9,3847247.708,1,Qt2,18,4.45261,4.05091,8,1107360
1030,QUDO,1480,2,2,2,2,2,2,2,2,2,2,2,1,769344.0195NA9,3847262.397,1,Qt2,18,4.8933101,4.4923501,0,1089570
1031,QULO,1498,2,2,2,2,2,2,2,2,2,2,2,1,769262.0145NA9,3847274.205NA9,1,Qt2,18,5.8324299,0,5,1106560
1032,QUAG,2169,2,2,2,1,1,0,0,0,0,0,0,0,769319.3155NA9,3847276.748NA9,1,Qt2,18,3.6092801,3.55425,0,1112020
1033,QUAG,1491,2,2,2,2,2,2,2,2,2,2,2,1,769279.9847,3847284.199,1,Qt2,18,4.4415002,2.5148399,0,1116110
1034,QUSP,NA,1,1,1,1,1,0,0,0,0,0,0,0,769313,3847285,1,Qt2,18,3.5164199,3.1798301,1,1105170
1035,QUAG,1499,2,2,2,2,2,2,2,2,2,2,2,1,769327.0861,3847299.732,1,Qt2,18,3.1712,2.5148399,0,1109590
1036,QUAG,1431,2,2,2,2,2,2,2,2,2,2,2,1,769325.575,3847303.869,1,Qt2,18,2.86151,1.12525,0,1110150
1037,QULO,1485,2,2,2,2,2,2,2,2,2,2,2,2,769277.7395NA9,3847305.632NA9,1,Qt2,18,4.5528898,1.12525,2,1110130
1038,QULO,1490,2,2,2,2,2,2,2,2,2,2,2,2,769302.0729,3847330.075,1,Qt2,18,2.9345701,0,0,1106490
1039,QUAG,2189,2,2,2,2,2,2,2,2,2,2,2,1,769312.4409,3847330.0923NA,1,Qt2,18,2.20123,0,0,1106400
1040,QUSP,NA,1,0,0,0,0,0,0,0,0,0,0,0,769252,3847340,2,Qc,18,5.0815401,3.55425,0,1119220
1041,QULO,1486,2,2,2,2,2,2,2,2,2,2,2,1,769337.4278,3847352.346,1,Qt2,18,0.576111,3.1798301,2,1119140
1042,QUAG,1482,2,2,2,2,2,2,2,2,2,2,2,1,769339.9571,3847357.686,1,Qt2,18,0.0485535,2.5148399,1,1115710
1043,QULO,678,2,2,2,2,2,2,2,2,2,2,2,2,769266.7510NA9,3847396.038NA9,1,Qt2,18,2.6531701,2.5148399,10,1102460
1044,QUAG,1318,2,2,2,2,2,2,2,2,2,2,2,1,769276.3416NA9,3847396.140NA9,1,Qt2,18,1.9080499,1.12525,9,1110130
1045,QULO,1307,2,2,2,2,2,2,2,2,2,2,2,2,769292.4313,3847398.618NA9,1,Qt2,18,0.774109,3.55425,7,1118700
1046,QULO,1350,2,2,2,2,2,2,2,2,2,2,2,1,769259.5285,3847405.87NA99,1,Qc,18,1.43753,4.05091,4,1100570
1047,QUAG,1336,2,2,2,2,2,2,2,2,2,2,2,1,769272.847NA99,3847408.098NA9,1,Qt2,18,1.6962301,3.3722899,2,1115640
1048,QUAG,2172,2,2,2,2,2,2,2,2,2,2,2,1,769310.7097,3847409.56NA99,1,Qt2,18,0.0638123,0,0,1106480
1049,QULO,1496,2,2,2,2,2,2,2,2,2,2,2,2,769243.9681,3847411.446,1,Qc,18,0.0429688,8.9985104,8,1083630
1050,QUDO,1343,2,2,2,2,2,2,2,2,2,2,2,2,769099.6215NA9,3847416.358,1,Qc,18,2.90329,11.9947004,0,1135990
1051,QUDO,NA,2,2,2,2,2,2,2,2,2,0,0,0,769229.0317,3847424.864,1,Qc,18,-1.6440099,11.5888004,13,1109070
1052,QUAG,2174,2,2,2,2,2,2,2,2,2,2,1,1,769317.9945NA9,3847425.001,1,Qt2,18,-1.4064,2.5148399,1,1115510
1053,QULO,2177,2,2,2,2,2,2,2,2,2,2,2,2,769243.484NA99,3847430.257,1,Qt2,18,0.235657,5.02004,0,1095390
1054,QUAG,NA,2,2,1,0,0,0,0,0,0,0,0,0,769196.0060NA9,3847431.39,1,Qt2,18,1.7687401,8.9985104,1,1124200
1055,QUAG,2175,2,2,2,2,2,2,2,2,2,2,2,2,769222.7129,3847432.612NA9,1,Qt2,18,-1.68826,6.0379901,194,1122350
1056,QUDO,NA,2,2,2,2,1,0,0,0,0,0,0,0,769115.7624NA9,3847436.015NA9,1,Qt2,18,5.0749798,6.81322,1,1123030
1057,QULO,2178,2,2,2,2,2,2,2,2,2,2,2,2,769313.3438,3847439.796,1,Qt2,18,-0.809998,1.12525,0,1109860
1058,QUDO,NA,2,2,2,2,1,0,0,0,0,0,0,0,769134.6689,3847440.368NA9,1,Qt2,18,2.26544,4.7636399,1,1123000
1059,QUDO,1323,2,2,2,2,2,2,2,2,2,2,2,2,769163.427NA99,3847440.679,1,Qt2,18,2.11252,6.3401899,1,1100420
1060,QUAG,1497,2,2,2,2,2,2,2,2,2,2,2,2,769236.8314,3847444.719,1,Qt2,18,-1.04773,2.5148399,2,1108220
1061,QULO,1350,2,2,2,2,2,2,2,2,2,2,2,2,769189.83NA999,3847446.694,1,Qt2,18,3.55988,5.7193398,0,1121850
1062,QUAG,1476,2,2,2,2,2,2,2,2,2,2,2,2,769231.0564,3847446.795,1,Qt2,18,-1.69128,4.4923501,173,1116260
1063,QUSP,NA,1,1,0,0,0,0,0,0,0,0,0,0,769165,3847450,1,Qt2,18,2.6965001,7.1684098,3,1102150
1064,QUDO,1321,2,2,2,2,2,2,2,2,2,2,2,2,769193.7957,3847452.683NA9,1,Qt2,18,3.0251501,4.6300201,0,1120470
1065,QUDO,1301,2,2,2,2,2,2,2,2,2,2,2,2,769185.7626NA9,3847453.378,1,Qt2,18,4.5190401,4.4923501,0,1118190
1066,QULO,2134,2,2,2,2,2,2,2,2,2,2,2,1,769141.8198,3847462.456NA9,1,Qt2,18,3.39557,5.7193398,0,1114170
1067,QUDO,2123,2,2,2,2,2,2,2,2,2,2,2,2,769208.8554,3847465.833,1,Qt2,18,1.74661,7.0813498,4,1125870
1068,QUAG,1354,2,2,2,2,2,2,2,2,2,2,2,2,769269.1861,3847471.822NA9,1,Qt2,18,-1.29468,6.0379901,7,1111420
1069,QULO,1340,2,2,2,2,2,2,2,2,2,2,2,2,769258.104NA99,3847472.757,1,Qt2,18,-1.55182,5.6089902,15,1125660
1070,QULO,2146,2,2,2,2,2,2,2,2,2,2,2,2,769177.1469,3847487.913,1,Qt2,18,3.90768,6.5336599,6,1107120
1071,QULO,1313,2,2,2,2,2,2,2,2,2,2,2,2,769105.5063,3847498.222,1,Qt2,18,7.0040598,1.59114,0,1099170
1072,QUAG,2126,2,2,2,2,2,2,2,2,2,2,1,1,769110.0932NA9,3847521.77,1,Qc,18,6.47821,6.5336599,0,1093570
1073,QUSP,NA,1,1,0,0,0,0,0,0,0,0,0,0,769258,3847522,1,Qt2,18,-0.833008,3.55425,8,1117410
1074,QUAG,1344,2,2,2,2,2,2,2,2,2,2,2,2,769187.8183NA9,3847524.205NA9,1,Qt2,18,3.1928401,3.55425,7,1111690
1075,QUSP,NA,2,2,0,0,0,0,0,0,0,0,0,0,769144,3847533,1,Qt2,18,4.4910598,3.1798301,0,1119260
1076,QULO,1329,2,2,2,2,2,2,2,2,2,2,2,2,769227.1219,3847548.265NA9,1,Qt2,18,1.54471,2.5148399,0,1116090
1077,QULO,1320,2,2,2,2,2,2,2,2,2,2,2,2,769290.5587,3847550.66NA99,1,Qt2,18,-3.15488,2.5148399,1,1109030
1078,QULO,2144,2,2,2,2,2,2,2,2,2,2,2,2,769214.9375,3847558.472,1,Qt2,18,2.09091,2.5148399,1,1109510
1079,QULO,1342,2,2,2,2,2,2,2,2,2,2,2,2,769158.0391,3847559.773,1,Qt2,18,5.0886202,3.1798301,1,1119120
1080,QULO,517,2,2,2,2,2,2,2,2,2,2,2,1,769300.3995,3847581.703NA9,1,Qt2,18,-4.8590102,0,3,1105280
1081,QULO,2116,2,2,2,2,2,2,2,2,2,2,2,2,769239.7549,3847589.635NA9,1,Qt2,18,0.938141,1.12525,4,1109940
1082,QULO,1332,2,2,2,2,2,2,2,2,2,2,1,1,769270.0674,3847594.72NA99,1,Qt2,18,-2.2213399,3.1798301,3,1118370
1083,QULO,1300,2,2,2,2,2,2,2,2,2,2,2,2,769180.4902,3847599.510NA9,1,Qt2,18,3.57446,3.1798301,2,1105430
1084,QULO,1335,2,2,2,2,2,2,2,2,2,2,1,1,769284.3142NA9,3847606.674NA9,1,Qt2,18,-3.4553499,3.1798301,7,1118340
1085,QULO,1344,2,2,2,2,2,2,2,2,2,2,2,2,769252.8516NA9,3847639.225,1,Qt2,18,-1.62106,2.5148399,1,1109260
1086,QUAG,2179,2,2,2,2,2,2,2,2,2,2,2,1,769308.3336,3847650.992NA9,1,Qt2,18,-7.1104102,2.24963,0,1112260
1087,QULO,1839,2,2,2,2,2,2,2,2,2,2,2,2,770396.9128,3843163.025,1,Qbf,16,-27.704NA,5.7193398,0,1092430
1088,QULO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770432.7027,3843173.314,1,Qc,16,-12.5312996,25.7863998,0,1030370
1089,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770541.2628,3843076.248,1,Qc,16,-5.6073899,26.4407997,3,1077070
1090,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770526.6427,3843113.695,2,Qc,16,1.14774,23.3701992,9,1083020
1091,QULO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770512.6824,3843068.598,2,Qbf,16,-21.7343006,15.5241003,20,1087900
1092,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,770582.4928,3843065.3,1,Qc,16,2.2876899,15.4127998,8,1109050
1093,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,770572.7501,3843070.27,1,Qc,16,0.809265,21.4710999,1,1092580
1094,QULO,NA,2,2,2,2,2,2,0,0,0,0,0,0,770924.6739,3842707.728,1,Qbf,16,-16.38NA4,7.0813498,40,1104630
1095,QULO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770880.4239,3842765.995,1,Qc,16,-7.15692,21.6646004,11,1093070
1096,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770783.1291,3842811.069,1,Qbf,16,-15.2606001,17.7315006,10,1100910
1097,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770820.5079,3842825.361,1,Qc,22,2.4449501,18.9335003,0,1114160
1098,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770795.2222,3842833.332,1,Qc,16,-3.65802,26.6004009,1,1050060
1099,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770785.053,3842860.541,1,Qc,16,-3.0295999,21.8318996,1,1071750
1100,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,770769.112,3842835.805,1,Qbf,16,-13.8383999,16.4508991,25,1090610
1101,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,770750.1478,3842882.804,1,Qc,16,-2.6709001,19.4990005,0,1110200
1102,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,770760.5919,3842898.195,1,Qc,16,3.8406701,10.0249996,0,1110250
1103,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770747.949,3842899.02,1,Qc,16,0.291626,25.2777004,1,1000400
1104,QUDO,999,2,2,2,2,2,2,2,2,2,2,2,2,770713.0438,3842907.815,1,Qbf,16,-14.3056002,14.4855003,22,1089950
1105,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770719.3652,3842911.937,1,Qbf,16,-12.0630999,14.4855003,22,1089950
1106,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770727.3357,3842913.311,1,Qbf,16,-9.6779499,16.1725998,0,1068500
1107,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770657.8001,3842922.656,1,Qbf,16,-16.5216999,22.4151001,2,1082410
1108,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770654.2271,3842925.405,1,Qbf,16,-16.6469002,20.4652996,3,1087380
1109,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,770689.1324,3842960.31,1,Qc,16,3.7054701,10.2643995,1,1124030
1110,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770618.2225,3842976.526,1,Qbf,16,-10.3121004,22.4151001,6,1083530
1111,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770580.8437,3842994.116,1,Qbf,16,-17.0221996,16.5538006,6,1089370
1112,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770584.9664,3842983.672,1,Qbf,16,-18.8041992,15.3754997,0,1098620
1113,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,770625.0937,3843009.232,1,Qc,16,4.8182402,22.4379997,10,1083110
1114,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770614.3747,3843004.56,1,Qc,16,-1.6587501,25.4111004,3,1062900
1115,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,770631.9648,3843005.934,1,Qc,16,5.09445,16.2777004,0,1117980
1116,QULO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770540.9913,3843054.032,1,Qc,16,-16.3726997,24.4934998,3,1081490
1117,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770536.319,3843061.727,1,Qc,16,-13.6280003,24.4934998,3,1081490
1118,QUAG,NA,2,2,2,2,2,2,2,2,1,1,0,0,770555.0084,3843034.793,1,Qbf,16,-15.4954004,18.5834007,12,1084510
1119,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770591.8375,3843017.752,1,Qc,16,-5.7128601,27.9545994,4,1062700
1120,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,770595.1356,3843032.869,1,Qc,16,0.238708,22.5063992,2,1078950
1121,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770587.7148,3843043.313,1,Qc,16,0.856873,22.6198997,2,1075370
1122,QULO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770431.4029,3843179.325,1,Qc,16,-12.7435999,27.5599003,14,1031040
1123,QULO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770432.4712,3843168.428,1,Qc,16,-13.5305996,25.7863998,0,1030370
1124,QULO,1851,2,2,2,2,2,2,2,2,2,2,2,2,770402.1326,3843168.856,1,Qbf,16,-26.6016006,11.1665001,22,1093290
1125,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770482.2521,3843167.574,1,Qc,16,4.3540602,8.9985104,0,1121810
1126,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770479.261,3843156.037,1,Qc,16,2.4640801,20.6975002,0,1101850
